deviceId,locationId,desc,lat,lon,area,areatype,town,county,project_name
7483396307,KS-O30208,Jsene/JsenePM,22.582,120.4306,大發工業區,工業區,大寮區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7482227039,KS-O30152,Jsene/AQNA-1000,22.5737,120.4287,大發工業區,工業區,大寮區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7481593311,KS-O30248,Jsene/JsenePM,22.5489,120.3763,臨海工業區,工業區,小港區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7481202080,KS-O30118,Jsene/JsenePM,22.5856,120.4041,內坑里,一般社區,大寮區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7485992724,KS-O30033,Jsene/JsenePM,22.6399,120.3463,褒揚東街,一般社區,三民區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7480953563,KS-O30110,Jsene/JsenePM,22.5952,120.4291,大發工業區,鄰近工業區社區,大寮區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7485715088,KS-O30048,Jsene/JsenePM,22.6129,120.2923,苓東里社區,一般社區,苓雅區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7481190130,KS-O30100,Jsene/JsenePM,22.5886,120.4289,大發工業區,工業區,大寮區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7486324088,KS-O30300,Jsene/JsenePM,22.633644,120.28713,三和里,一般社區,岡山區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7481993385,KS-O30178,Jsene/AQNA-1000,22.7423,120.3375,大社工業區,鄰近工業區社區,楠梓區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7482944438,KS-O30181,Jsene/AQNA-1000,22.5741,120.4302,大發工業區,工業區,大寮區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7486508672,KS-O30306,Jsene/AQNA-1000,22.5102,120.3613,臨海工業區,鄰近工業區社區,小港區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7486427917,KS-O30305,Jsene/JsenePM,22.5322,120.368,臨海工業區,工業區,小港區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7526625381,KS-O30488,Jsene/JsenePM,22.59,120.2853,南汕里社區,一般社區,旗津區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7483140615,KS-O30201,Jsene/AQNA-1000,22.7737,120.4371,旗山區社區感測,一般社區,旗山區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7484527022,KS-O30245,Jsene/JsenePM,22.5479,120.3715,臨海工業區,工業區,小港區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7487568107,KS-O30322,Jsene/JsenePM,22.5173,120.3587,臨海工業區,工業區,小港區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7527351738,KS-O30485,Jsene/AQNA-1000,22.7257,120.2567,信蚵里社區,一般社區,梓官區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7527563599,KS-O30498,Jsene/AQNA-1000,22.6083,120.2722,實踐里社區,一般社區,旗津區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
7481393388,KS-O30159,Jsene/JsenePM,22.663,120.3207,三民區陳情熱區,一般社區,三民區,高雄市,107年高雄市空氣品質感測物聯網布建計畫
