"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","紫外線指數","總雲量_衛星(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","UVI","Cloud Amount Sat"
"01","1017.1","1020.7","19.1","17.2","89","2.1","160","4.9","120","T","0.2","--","0.00","0","10.0"
"02","1016.9","1020.5","18.5","17.4","93","0.6","140","5.0","180","0.5","0.5","--","0.00","0","10.0"
"03","1016.7","1020.3","18.8","17.8","94","2.3","110","5.1","140","1.5","1.0","--","0.00","0","9.0"
"04","1016.8","1020.4","19.1","17.9","93","2.4","100","6.3","140","T","0.3","--","0.00","0","10.0"
"05","1017.2","1020.8","19.1","17.6","91","2.6","100","7.5","50","T","0.4","--","0.00","0","10.0"
"06","1017.4","1021.0","18.9","17.4","91","2.7","100","7.5","80","0.5","0.8","0.0","0.00","0","10.0"
"07","1018.0","1021.6","18.9","17.4","91","3.2","100","10.6","70","0.5","0.8","0.0","0.00","0","10.0"
"08","1018.4","1022.0","18.8","17.1","90","3.5","110","10.0","110","0.5","0.7","0.0","0.05","0","10.0"
"09","1018.6","1022.2","19.0","17.2","89","2.3","100","8.5","90","T","0.4","0.0","0.14","0","10.0"
"10","1018.5","1022.1","19.1","16.9","87","3.8","100","8.7","110","T","0.2","0.0","0.34","1","10.0"
"11","1017.8","1021.4","19.4","17.0","86","3.7","100","9.8","100","T","0.1","0.0","0.77","2","10.0"
"12","1016.8","1020.4","20.0","17.0","83","3.9","100","10.7","80","0.0","0.0","0.1","1.11","3","10.0"
"13","1015.9","1019.5","20.9","16.9","78","3.7","90","10.9","90","0.0","0.0","0.1","1.18","3","10.0"
"14","1015.6","1019.2","20.6","17.0","80","2.9","90","11.4","80","0.0","0.0","0.0","0.79","2","9.0"
"15","1015.6","1019.2","20.9","17.5","81","3.8","100","10.5","100","0.0","0.0","0.0","0.68","1","10.0"
"16","1015.9","1019.5","20.7","18.1","85","2.8","110","9.7","130","T","0.1","0.0","0.37","1","8.0"
"17","1016.1","1019.7","20.0","17.8","87","3.4","100","10.5","110","T","0.1","0.0","0.12","0","8.0"
"18","1016.4","1020.0","20.0","17.6","86","3.6","100","10.6","80","0.0","0.0","0.0","0.00","0","9.0"
"19","1016.7","1020.3","19.9","17.7","87","3.4","100","9.9","90","0.0","0.0","0.0","0.00","0","8.0"
"20","1016.8","1020.4","20.0","17.8","87","3.6","100","9.5","100","0.0","0.0","--","0.00","0","7.0"
"21","1016.5","1020.1","20.2","17.4","84","3.7","100","10.0","100","0.0","0.0","--","0.00","0","6.0"
"22","1016.4","1020.0","20.2","17.4","84","2.5","100","10.2","90","0.0","0.0","--","0.00","0","7.0"
"23","1016.3","1019.9","20.1","17.3","84","2.4","100","8.6","100","0.0","0.0","--","0.00","0","6.0"
"24","1015.9","1019.5","20.1","17.9","87","2.7","110","7.0","110","0.0","0.0","--","0.00","0","5.0"
