deviceId,PM2.5,time,lon,lat
11144277295,4.83,2026-02-04 09:42:40,121.66136,25.210844
11144277295,4.83,2026-02-04 09:43:40,121.66136,25.210842
11144277295,4.83,2026-02-04 09:48:23,121.66465,25.209871
11144277295,2.76,2026-02-04 09:58:40,121.65935,25.223572
11144277295,4.83,2026-02-04 09:59:41,121.65935,25.22357
11144277295,4.83,2026-02-04 10:00:41,121.65935,25.22357
11144277295,2.76,2026-02-04 10:01:41,121.65935,25.22357
11144277295,4.83,2026-02-04 10:33:36,121.650665,25.230862
11144277295,4.83,2026-02-04 10:34:36,121.65066,25.23086
11144277295,4.83,2026-02-04 10:35:36,121.650665,25.230856
11144277295,4.83,2026-02-04 10:54:37,121.64877,25.231642
11144277295,4.83,2026-02-04 10:55:36,121.64877,25.231642
11144277295,4.83,2026-02-04 10:56:36,121.64877,25.231642
11144277295,4.83,2026-02-04 10:57:36,121.64877,25.231642
11144277295,2.76,2026-02-05 10:34:44,121.651024,25.230406
11144277295,2.76,2026-02-05 10:35:44,121.65101,25.230389
11144277295,2.76,2026-02-05 10:36:45,121.65411,25.229374
11144277295,2.76,2026-02-05 10:37:44,121.67244,25.186716
11144277295,2.76,2026-02-05 10:38:44,121.67244,25.186716
11144277295,2.76,2026-02-05 10:46:09,121.65169,25.231178
11144277295,2.76,2026-02-05 10:47:09,121.651695,25.231176
11144277295,2.76,2026-02-05 10:48:09,121.651695,25.231176
11144277295,2.76,2026-02-05 10:52:41,121.64858,25.231482
11144277295,2.76,2026-02-05 10:53:42,121.64861,25.23149
11144277295,2.76,2026-02-05 10:54:42,121.64861,25.23149
11144277295,2.76,2026-02-05 10:55:42,121.64861,25.23149
11144277295,2.76,2026-02-05 10:56:42,121.64861,25.23149
