deviceId,PM2.5,time,lon,lat
11107620341,5.35,2025-12-02 12:59:29,121.74727,25.080408
11107620341,5.37,2025-12-02 13:00:29,121.74727,25.080408
11107620341,4.96,2025-12-02 16:59:29,121.74987,25.092897
11107620341,4.74,2025-12-02 17:10:29,121.74474,25.087118
11107620341,4.75,2025-12-02 17:11:29,121.738754,25.07985
11107620341,4.76,2025-12-02 17:12:29,121.66933,24.996511
11107620341,4.75,2025-12-02 17:13:29,121.66933,24.996511
11107620341,11.56,2025-12-03 17:19:28,121.74187,25.06269
11107620341,12.37,2025-12-03 17:20:28,121.73654,25.049057
11107620341,12.4,2025-12-03 17:21:28,121.6957,24.97265
11107620341,12.4,2025-12-03 17:22:28,121.6884,24.959642
11107620341,12.51,2025-12-03 17:23:28,121.6884,24.959642
11107620341,12.49,2025-12-03 17:24:28,121.6884,24.959642
11107620341,11.7,2025-12-03 17:25:28,121.6884,24.959642
11107620341,7.67,2025-12-04 05:09:28,121.73755,25.082407
11107620341,7.66,2025-12-04 05:10:28,121.73755,25.082407
11107620341,2.74,2025-12-07 07:54:25,121.68342,25.103678
11107620341,4.89,2025-12-08 03:10:24,121.748375,25.094011
11107620341,5.37,2025-12-08 03:15:24,121.7495,25.100512
11107620341,5.37,2025-12-08 03:16:24,121.74945,25.100613
11107620341,5.35,2025-12-08 03:20:24,121.736855,25.06525
11107620341,4.61,2025-12-08 03:21:24,121.736855,25.06525
11107620341,5.92,2025-12-08 15:15:24,121.71661,24.963764
11107620341,6.64,2025-12-08 15:16:24,121.71661,24.963764
11107620341,7.18,2025-12-11 00:12:22,121.739426,25.082907
11107620341,7.18,2025-12-11 00:13:22,121.739426,25.082907
11107620341,7.17,2025-12-11 00:14:22,121.739426,25.082907
11107620341,7.93,2025-12-11 00:15:22,121.739426,25.082907
11107620341,7.93,2025-12-11 00:16:22,121.739426,25.082907
11107620341,7.93,2025-12-11 00:17:22,121.739426,25.082907
11107620341,7.93,2025-12-11 00:18:22,121.739426,25.082907
11107620341,6.41,2025-12-11 00:19:22,121.739426,25.082907
11107620341,7.93,2025-12-11 00:20:21,121.727264,25.091827
11107620341,7.92,2025-12-11 00:21:21,121.727264,25.091827
11107620341,7.91,2025-12-11 00:22:21,121.727264,25.091827
11107620341,7.9,2025-12-11 00:23:21,121.727264,25.091827
11107620341,7.9,2025-12-11 00:24:21,121.727264,25.091827
11107620341,7.9,2025-12-11 00:25:21,121.727264,25.091827
11107620341,7.88,2025-12-11 00:26:21,121.727264,25.091827
11107620341,8.62,2025-12-11 00:27:21,121.727264,25.091827
11107620341,7.11,2025-12-11 00:28:21,121.73184,25.0898
11107620341,8.61,2025-12-11 00:29:21,121.73184,25.0898
11107620341,8.59,2025-12-11 00:30:21,121.73184,25.0898
11107620341,7.83,2025-12-11 00:31:21,121.73184,25.0898
11107620341,8.57,2025-12-11 00:32:21,121.73184,25.0898
