station,rows,valid,completeness
新竹,2160,2145,0.9930555555555556
竹東,2160,2145,0.9930555555555556
湖口,2160,2141,0.9912037037037037
頭份,2160,2147,0.9939814814814815
苗栗,2160,2140,0.9907407407407407
龍潭,2160,2134,0.9879629629629629
觀音,2160,2131,0.986574074074074
大園,2160,2142,0.9916666666666667
